N=20,N=50,N=100,N=200
$\sigma (r)_{10\%}$,$n(\sigma) (r)_{10\%}$,$n(\sigma) (r)_{10\%}$,$n(\sigma) (r)_{10\%}$
0.569,\textbf{0.578},0.536,0.501
