N=20,N=50,N=100,N=200
$\sigma (r)_{90\%}$,$n(\sigma) (r)_{10\%}$,$n(\sigma) (r)_{90\%}$,$\sigma (r)_{30\%}$
0.383,0.4,0.405,\textbf{0.417}
