cut-offs,si90,si70,si50,si30,si10
$\sigma (r)$,0.242,0.264,0.351,0.379,\textbf{0.387}
$\sigma (\rho)$,0.259,0.263,0.436,0.464,\textbf{0.468}
$n(\sigma) (r)$,0.250,0.286,0.351,\textbf{0.367},0.355
$n(\sigma) (\rho)$,0.286,0.298,0.431,0.461,\textbf{0.466}
$MAD (r)$,0.282,0.221,\textbf{0.310},0.255,0.112
$MAD(\rho)$,0.281,0.262,\textbf{0.372},0.279,0.168
$n(MAD) (r)$,0.287,0.231,\textbf{0.295},0.230,0.080
$n(MAD) (\rho)$,0.299,0.275,\textbf{0.373},0.282,0.170
