cut-offs,si90,si70,si50,si30,si10
$\sigma (r)$,0.242,0.275,0.379,0.404,\textbf{0.425}
$\sigma (\rho)$,0.259,0.272,0.462,0.484,\textbf{0.490}
$n(\sigma) (r)$,0.250,0.293,0.380,0.392,\textbf{0.403}
$n(\sigma) (\rho)$,0.286,0.305,0.454,0.476,\textbf{0.482}
$MAD (r)$,0.282,0.231,\textbf{0.341},0.267,0.188
$MAD(\rho)$,0.281,0.277,\textbf{0.437},0.354,0.303
$n(MAD) (r)$,0.287,0.240,\textbf{0.327},0.236,0.139
$n(MAD) (\rho)$,0.299,0.285,\textbf{0.433},0.350,0.297
