cut-offs,si90,si70,si50,si30,si10
$\sigma (r)$,0.148,0.102,0.317,0.396,\textbf{0.434}
$\sigma (\rho)$,0.142,0.073,0.266,0.343,\textbf{0.370}
$n(\sigma) (r)$,0.199,0.163,0.394,0.477,\textbf{0.501}
$n(\sigma) (\rho)$,0.222,0.104,0.303,0.374,\textbf{0.397}
$MAD (r)$,0.184,0.208,\textbf{0.330},0.213,0.232
$MAD(\rho)$,0.123,0.128,\textbf{0.275},0.204,0.220
$n(MAD) (r)$,0.218,0.252,\textbf{0.366},0.273,0.277
$n(MAD) (\rho)$,0.165,0.153,\textbf{0.308},0.238,0.250
