cut-offs,si90,si70,si50,si30,si10
$\sigma (r)$,0.213,0.062,0.306,0.401,\textbf{0.434}
$\sigma (\rho)$,0.242,0.003,0.212,0.244,\textbf{0.263}
$n(\sigma) (r)$,0.256,0.110,0.358,0.459,\textbf{0.480}
$n(\sigma) (\rho)$,\textbf{0.293},0.059,0.245,0.270,0.290
$MAD (r)$,0.274,0.133,0.327,0.306,\textbf{0.365}
$MAD(\rho)$,\textbf{0.321},0.076,0.257,0.203,0.223
$n(MAD) (r)$,0.314,0.171,0.373,0.378,\textbf{0.418}
$n(MAD) (\rho)$,\textbf{0.343},0.113,0.269,0.218,0.238
