cut-offs,si90,si70,si50,si30,si10
$\sigma (r)$,0.248,0.302,0.458,0.464,\textbf{0.465}
$\sigma (\rho)$,0.268,0.291,\textbf{0.478},0.477,0.478
$n(\sigma) (r)$,0.255,0.319,0.453,0.453,\textbf{0.454}
$n(\sigma) (\rho)$,0.292,0.316,\textbf{0.492},0.488,0.489
$MAD (r)$,0.287,0.260,\textbf{0.435},0.355,0.374
$MAD(\rho)$,0.284,0.308,\textbf{0.528},0.454,0.447
$n(MAD) (r)$,0.292,0.269,\textbf{0.434},0.331,0.345
$n(MAD) (\rho)$,0.300,0.314,\textbf{0.540},0.464,0.457
