cut-offs,si90,si70,si50,si30,si10
$\sigma (r)$,0.216,0.120,0.412,0.494,\textbf{0.508}
$\sigma (\rho)$,\textbf{0.241},-0.014,0.170,0.176,0.187
$n(\sigma) (r)$,0.255,0.167,0.461,0.557,\textbf{0.569}
$n(\sigma) (\rho)$,\textbf{0.288},0.024,0.205,0.209,0.220
$MAD (r)$,0.268,0.202,0.456,0.479,\textbf{0.504}
$MAD(\rho)$,\textbf{0.308},0.091,0.264,0.244,0.257
$n(MAD) (r)$,0.304,0.238,0.493,0.541,\textbf{0.562}
$n(MAD) (\rho)$,\textbf{0.331},0.126,0.288,0.267,0.280
