cut-offs,si90,si70,si50,si30,si10
$\sigma (r)$,0.149,0.113,0.331,0.429,\textbf{0.465}
$\sigma (\rho)$,0.143,0.092,0.287,0.355,\textbf{0.369}
$n(\sigma) (r)$,0.200,0.171,0.405,0.508,\textbf{0.536}
$n(\sigma) (\rho)$,0.223,0.114,0.312,0.381,\textbf{0.396}
$MAD (r)$,0.185,0.216,\textbf{0.350},0.252,0.256
$MAD(\rho)$,0.123,0.145,\textbf{0.293},0.229,0.241
$n(MAD) (r)$,0.219,0.257,\textbf{0.385},0.306,0.302
$n(MAD) (\rho)$,0.165,0.159,\textbf{0.321},0.255,0.266
