cut-offs,si90,si70,si50,si30,si10
$\sigma (r)$,0.214,0.051,0.289,0.389,\textbf{0.408}
$\sigma (\rho)$,0.248,0.003,0.239,0.283,\textbf{0.297}
$n(\sigma) (r)$,0.260,0.097,0.337,0.443,\textbf{0.451}
$n(\sigma) (\rho)$,0.301,0.063,0.269,0.305,\textbf{0.321}
$MAD (r)$,0.274,0.127,0.359,\textbf{0.378},0.335
$MAD(\rho)$,\textbf{0.324},0.097,0.278,0.248,0.210
$n(MAD) (r)$,0.317,0.163,0.385,\textbf{0.423},0.359
$n(MAD) (\rho)$,\textbf{0.353},0.143,0.308,0.273,0.236
