cut-offs,si90,si70,si50,si30,si10
$\sigma (r)$,0.214,0.048,0.271,0.395,\textbf{0.411}
$\sigma (\rho)$,0.248,0.012,0.239,0.307,\textbf{0.315}
$n(\sigma) (r)$,0.260,0.098,0.318,\textbf{0.446},0.446
$n(\sigma) (\rho)$,0.301,0.074,0.282,0.327,\textbf{0.338}
$MAD (r)$,0.274,0.111,0.332,\textbf{0.379},0.349
$MAD(\rho)$,\textbf{0.324},0.108,0.283,0.299,0.273
$n(MAD) (r)$,0.317,0.146,0.356,\textbf{0.421},0.372
$n(MAD) (\rho)$,\textbf{0.353},0.155,0.306,0.313,0.288
