cut-offs,si90,si70,si50,si30,si10
$\sigma (r)$,\textbf{0.304},0.014,0.190,0.222,0.229
$\sigma (\rho)$,\textbf{0.306},-0.011,0.085,0.083,0.092
$n(\sigma) (r)$,\textbf{0.337},0.047,0.204,0.234,0.240
$n(\sigma) (\rho)$,\textbf{0.347},0.024,0.113,0.110,0.119
$MAD (r)$,0.334,0.059,0.254,0.353,\textbf{0.363}
$MAD(\rho)$,\textbf{0.365},0.083,0.214,0.229,0.239
$n(MAD) (r)$,0.357,0.087,0.262,0.358,\textbf{0.362}
$n(MAD) (\rho)$,\textbf{0.383},0.113,0.234,0.247,0.257
