cut-offs,si90,si70,si50,si30,si10
$\sigma (r)$,0.275,0.222,0.243,0.289,\textbf{0.295}
$\sigma (\rho)$,0.247,0.248,0.340,0.356,\textbf{0.359}
$n(\sigma) (r)$,\textbf{0.347},0.273,0.281,0.321,0.326
$n(\sigma) (\rho)$,0.314,0.262,0.347,0.363,\textbf{0.366}
$MAD (r)$,0.190,0.193,0.293,0.332,\textbf{0.333}
$MAD(\rho)$,0.188,0.279,0.341,0.345,\textbf{0.346}
$n(MAD) (r)$,0.253,0.238,0.305,0.351,\textbf{0.353}
$n(MAD) (\rho)$,0.217,0.286,0.360,0.362,\textbf{0.363}
