cut-offs,si90,si70,si50,si30,si10
$\sigma (r)$,0.275,0.226,0.299,0.344,\textbf{0.347}
$\sigma (\rho)$,0.249,0.241,0.365,\textbf{0.367},0.366
$n(\sigma) (r)$,0.346,0.284,0.341,\textbf{0.387},0.379
$n(\sigma) (\rho)$,0.317,0.272,\textbf{0.392},0.381,0.382
$MAD (r)$,0.190,0.187,\textbf{0.324},0.199,0.189
$MAD(\rho)$,0.189,0.203,\textbf{0.327},0.197,0.177
$n(MAD) (r)$,0.253,0.232,\textbf{0.328},0.237,0.209
$n(MAD) (\rho)$,0.219,0.218,\textbf{0.344},0.207,0.186
