cut-offs,si90,si70,si50,si30,si10
$\sigma (r)$,0.285,0.250,0.313,\textbf{0.356},0.355
$\sigma (\rho)$,0.329,0.288,0.406,\textbf{0.417},0.417
$n(\sigma) (r)$,0.300,0.232,0.292,\textbf{0.313},0.296
$n(\sigma) (\rho)$,0.358,0.304,0.400,\textbf{0.417},0.417
$MAD (r)$,0.192,0.235,\textbf{0.259},0.194,0.148
$MAD(\rho)$,0.321,0.299,\textbf{0.323},0.233,0.153
$n(MAD) (r)$,0.193,0.205,\textbf{0.221},0.152,0.089
$n(MAD) (\rho)$,\textbf{0.343},0.301,0.317,0.229,0.151
