cut-offs,si90,si70,si50,si30,si10
$\sigma (r)$,\textbf{0.314},0.075,0.228,0.276,0.302
$\sigma (\rho)$,\textbf{0.314},0.064,0.186,0.200,0.210
$n(\sigma) (r)$,\textbf{0.349},0.118,0.253,0.299,0.318
$n(\sigma) (\rho)$,\textbf{0.358},0.119,0.214,0.220,0.231
$MAD (r)$,\textbf{0.344},0.102,0.239,0.271,0.256
$MAD(\rho)$,\textbf{0.381},0.122,0.251,0.211,0.224
$n(MAD) (r)$,\textbf{0.368},0.140,0.264,0.304,0.281
$n(MAD) (\rho)$,\textbf{0.397},0.154,0.263,0.227,0.238
