cut-offs,si90,si70,si50,si30,si10
$\sigma (r)$,0.316,0.103,0.275,0.334,\textbf{0.345}
$\sigma (\rho)$,\textbf{0.319},0.094,0.247,0.266,0.276
$n(\sigma) (r)$,0.351,0.150,0.302,0.356,\textbf{0.360}
$n(\sigma) (\rho)$,\textbf{0.364},0.155,0.275,0.289,0.298
$MAD (r)$,0.345,0.125,0.311,\textbf{0.380},0.268
$MAD(\rho)$,\textbf{0.385},0.160,0.277,0.241,0.205
$n(MAD) (r)$,0.369,0.164,0.321,\textbf{0.388},0.267
$n(MAD) (\rho)$,\textbf{0.403},0.199,0.304,0.265,0.229
