cut-offs,si90,si70,si50,si30,si10
$\sigma (r)$,0.285,0.256,0.300,0.328,\textbf{0.331}
$\sigma (\rho)$,0.329,0.293,0.394,0.400,\textbf{0.405}
$n(\sigma) (r)$,\textbf{0.300},0.238,0.279,0.292,0.289
$n(\sigma) (\rho)$,0.358,0.304,0.387,0.398,\textbf{0.403}
$MAD (r)$,0.192,0.240,\textbf{0.267},0.177,0.177
$MAD(\rho)$,0.321,0.310,\textbf{0.367},0.295,0.271
$n(MAD) (r)$,0.193,0.210,\textbf{0.229},0.137,0.112
$n(MAD) (\rho)$,0.343,0.306,\textbf{0.358},0.286,0.263
