cut-offs,si90,si70,si50,si30,si10
$\sigma (r)$,0.286,0.234,0.262,\textbf{0.297},0.294
$\sigma (\rho)$,0.330,0.278,0.366,0.370,\textbf{0.375}
$n(\sigma) (r)$,\textbf{0.301},0.216,0.243,0.269,0.262
$n(\sigma) (\rho)$,0.359,0.286,0.364,0.371,\textbf{0.376}
$MAD (r)$,0.192,0.222,\textbf{0.283},0.200,0.218
$MAD(\rho)$,0.320,0.305,\textbf{0.393},0.332,0.314
$n(MAD) (r)$,0.193,0.195,\textbf{0.249},0.163,0.160
$n(MAD) (\rho)$,0.343,0.298,\textbf{0.382},0.324,0.305
