cut-offs,si90,si70,si50,si30,si10
$\sigma (r)$,\textbf{0.285},0.148,0.178,0.199,0.201
$\sigma (\rho)$,\textbf{0.332},0.214,0.265,0.253,0.255
$n(\sigma) (r)$,\textbf{0.299},0.126,0.155,0.172,0.174
$n(\sigma) (\rho)$,\textbf{0.358},0.212,0.261,0.252,0.254
$MAD (r)$,0.192,0.173,0.228,0.256,\textbf{0.287}
$MAD(\rho)$,0.320,0.261,0.335,0.334,\textbf{0.345}
$n(MAD) (r)$,0.191,0.142,0.197,0.217,\textbf{0.243}
$n(MAD) (\rho)$,0.338,0.258,0.336,0.337,\textbf{0.348}
