cut-offs,si90,si70,si50,si30,si10
$\sigma (r)$,0.275,0.231,0.301,0.351,\textbf{0.358}
$\sigma (\rho)$,0.249,0.243,0.362,\textbf{0.368},0.367
$n(\sigma) (r)$,0.346,0.289,0.340,\textbf{0.389},0.389
$n(\sigma) (\rho)$,0.317,0.275,0.385,0.388,\textbf{0.390}
$MAD (r)$,0.190,0.194,\textbf{0.331},0.237,0.223
$MAD(\rho)$,0.189,0.217,\textbf{0.315},0.233,0.229
$n(MAD) (r)$,0.253,0.239,\textbf{0.336},0.265,0.242
$n(MAD) (\rho)$,0.220,0.227,\textbf{0.337},0.244,0.240
