cut-offs,si90,si70,si50,si30,si10
$\sigma (r)$,0.316,0.113,0.296,\textbf{0.381},0.375
$\sigma (\rho)$,0.319,0.111,0.278,0.313,\textbf{0.320}
$n(\sigma) (r)$,0.351,0.162,0.323,\textbf{0.403},0.383
$n(\sigma) (\rho)$,\textbf{0.364},0.172,0.317,0.332,0.339
$MAD (r)$,0.345,0.115,0.313,\textbf{0.390},0.279
$MAD(\rho)$,\textbf{0.385},0.166,0.305,0.298,0.267
$n(MAD) (r)$,0.369,0.152,0.321,\textbf{0.402},0.282
$n(MAD) (\rho)$,\textbf{0.403},0.202,0.323,0.313,0.281
